pattern_number,title,pubdate,ipc,appl_no,applicant,inventor
101122258,COAL POWDER GAS TURBINE GENERATION SYSTEM AND PROCESS FOR PRODUCING COAL POWDER TWO-PHASE FLOW FUEL,CN - 13.02.2008,F02C 3/28,,,
1290325,COMBINED CRYOGENIC AIR SEPARATION WITH INTEGRATED GASIFIER,CN - 04.04.2001,F02C 3/28,,,
1239533,SYNTHESIS GAS EXPANDER LOCATED IMMEDIATELY UPSTREAM OF COMBUSTION TURBINE,CN - 22.12.1999,F02C 3/28,,,
103534462,GASIFIER POWER PLANT AND MANAGEMENT OF WASTES,CN - 22.01.2014,F02C 3/28,,,
102953813,用于在气化器起动期间切换燃料供给的系统和方法,CN - 06.03.2013,F02C 3/28,,,
102374032,密封监视系统和发电设备,CN - 14.03.2012,F02C 9/00,,,
102562303,SYSTEM FOR FLUIDIZING SOLID FEEDSTOCK FROM A SOLID FEED PUMP,CN - 11.07.2012,F02C 3/28,,,
102538013,FUEL INJECTOR HAVING TIP COOLING,CN - 04.07.2012,F23R 3/28,,,
209838541,COAL GASIFICATION SUPERCRITICAL CARBON DIOXIDE POWER GENERATION DEVICE,CN - 24.12.2019,F02C 3/28,,,
1177078,COMBUSTION PLANT,CN - 25.03.1998,F23C 6/04,,,
102686834,GAS ENGINE DRIVES FOR GASIFICATION PLANTS,CN - 19.09.2012,F01K 23/06,,,
103266951,动力系统用非气液燃料工质发生器,CN - 28.08.2013,F02C 3/28,,,
1183511,METHOD AND APPLIANCE FOR FEEDING GAS TURBINE WITH BOTH LIQUID AND GASEOUS FUELS,CN - 03.06.1998,F02C 3/28,,,
109098855,COAL GASIFICATION SUPERCRITICAL CARBON DIOXIDE ELECTRICITY GENERATING SYSTEM AND METHOD,CN - 28.12.2018,F02C 3/28,,,
WO/1997/021916,A POWER PLANT,WO - 19.06.1997,F02C 3/20,,,
102292522,"SYNTHESIS GAS-BASED FUEL SYSTEM, AND METHOD FOR THE OPERATION OF A SYNTHESIS GAS-BASED FUEL SYSTEM",CN - 21.12.2011,F01K 23/06,,,
1194680,COMBINED CYCLE POWER PLANT WITH FLUID BED DEVOLATILIZER AND BOILER,CN - 30.09.1998,F02C 3/28,,,
1323373,GAS AND STEAM TURBINE INSTALLATION,CN - 21.11.2001,F02C 3/28,,,
1071732,DIFFERENTIAL BED COAL COMBUSTION JOINT CIRCULATION METHOD AND DEVICE,CN - 05.05.1993,F01K 23/06,,,
101871393,ENGINE BASED ON VANE-TYPE METAL-WATER REACTION PROPULSION UNIT,CN - 27.10.2010,F02C 3/28,,,
102575178,INTEGRATED GASIFICATION COMBINED CYCLE PLANT WITH CHAR PREPARATION SYSTEM,CN - 11.07.2012,C10J 3/54,,,
102549119,"SYSTEMS, DEVICES AND METHODS FOR CALCIUM LOOPING",CN - 04.07.2012,C10J 3/54,,,
1348526,GAS-AND STEAM TURBINE INSTALLATION,CN - 08.05.2002,F01K 23/06,,,
1117753,NEW POWER PROCESS,CN - 28.02.1996,F01K 23/06,,,
1526050,METHOD FOR OPERATING A BURNER OF A GAS TURBINE AND A POWER PLANT,CN - 01.09.2004,F02C 3/28,,,
WO/2011/056341,GAS ENGINE DRIVES FOR GASIFICATION PLANTS,WO - 12.05.2011,F01K 23/06,,,
1314969,GAS AND STEAM TURBINE INSTALLATION,CN - 26.09.2001,F02C 3/28,,,
1186194,METHOD AND APPARATUS FOR ELECTRIC POWER GENERATION,CN - 01.07.1998,F02C 3/28,,,
102374027,模块化末端喷射装置,CN - 14.03.2012,F02C 3/28,,,
1664330,GAS TURBINE POWER GENERATION EQUIPMENT AND AIR HUMIDIFIER,CN - 07.09.2005,F02C 3/30,,,
1313929,GAS AND STEAM TURBINE UNIT,CN - 19.09.2001,F01K 23/06,,,
WO/2010/084042,"SYNTHESIS GAS-BASED FUEL SYSTEM, AND METHOD FOR THE OPERATION OF A SYNTHESIS GAS-BASED FUEL SYSTEM",WO - 29.07.2010,F01K 23/06,,,
112443398,CARBON-BASED FUEL GASIFICATION POWER GENERATION SYSTEM,CN - 05.03.2021,F02C 3/28,,,
WO/1999/014473,SYNTHESIS GAS EXPANDER LOCATED IMMEDIATELY UPSTREAM OF COMBUSTION TURBINE,WO - 25.03.1999,F02C 3/22,,,
WO/2011/035257,"SYSTEMS, DEVICES AND METHODS FOR CALCIUM LOOPING",WO - 24.03.2011,C10J 3/54,,,
WO/2011/035241,INTEGRATED GASIFICATION COMBINED CYCLE PLANT WITH CHAR PREPARATION SYSTEM,WO - 24.03.2011,C10J 3/54,,,
101100959,POWER MACHINE USING INFLAMMABLE POWDER AS MATERIAL,CN - 09.01.2008,F02C 3/28,,,
115427671,气化复合发电设备及其运转方法,CN - 02.12.2022,F02C 3/28,,,
102317414,无排放的整体气化联合循环,CN - 11.01.2012,C10J 3/00,,,
115059545,SOLID FUEL GAS TURBINE WITH ANNULAR COMBUSTION CHAMBER,CN - 16.09.2022,F02C 3/28,,,
202596893,基于催化气化的电-合成天然气调峰发电系统,CN - 12.12.2012,F02C 6/18,,,
WO/2015/180935,METHOD FOR OPERATING A GAS TURBINE ENGINE UNIT,WO - 03.12.2015,F02C 3/28,,,
1539051,INTEGRATED AIR SEPARATION AND POWER GENERATION PROCESS,CN - 20.10.2004,F01K 21/04,,,
WO/1994/019591,NEW POWER PROCESS,WO - 01.09.1994,F01K 21/04,,,
WO/2021/200256,INTEGRATED GASIFICATION COMBINED CYCLE POWER GENERATION FACILITY AND METHOD OF OPERATING SAME,WO - 07.10.2021,F02C 3/28,,,
113316682,PROCESS AND SYSTEM FOR CONVERTING WASTE PLASTIC INTO POWER,CN - 27.08.2021,F02C 3/28,,,
WO/2001/051773,POWER SYSTEM WITH ENHANCED THERMODYNAMIC EFFICIENCY AND POLLUTION CONTROL,WO - 19.07.2001,F02C 3/28,,,
1401047,GAS AND STEAM TURBINE INSTALLATION,CN - 05.03.2003,F01K 23/06,,,
103998747,METHOD FOR STABILISING A NETWORK FREQUENCY WITH A GAS TURBINE IN MIXED-FUEL OPERATION,CN - 20.08.2014,F02C 3/28,,,
103328892,用于固体燃料颗粒的流体化系统,CN - 25.09.2013,F23K 3/02,,,
1829887,METHOD AND SYSTEM FOR SUPPLYING AN AIR SEPARATION UNIT BY MEANS OF A GAS TURBINE,CN - 06.09.2006,F25J 3/04,,,
102200057,SYSTEM AND METHOD FOR COOLING GAS TURBINE COMPONENT,CN - 28.09.2011,F02C 7/18,,,
111102073,SUPERCRITICAL CARBON DIOXIDE CIRCULATION SYSTEM SUITABLE FOR COAL GASIFICATION AND OPERATION METHOD THEREOF,CN - 05.05.2020,F02C 6/00,,,
WO/2000/004279,GAS AND STEAM TURBINE INSTALLATION,WO - 27.01.2000,F01K 23/06,,,
115059546,SOLID FUEL GAS TURBINE WITH SINGLE-CYLINDER COMBUSTION CHAMBER,CN - 16.09.2022,F02C 3/28,,,
105143638,气化发电设备的控制装置、气化发电设备、及气化发电设备的控制方法,CN - 09.12.2015,F02C 3/28,,,
101153557,METHOD AND APPARATUS OF GASIFICATION UNDER IGCC SYSTEM,CN - 02.04.2008,F02C 3/14,,,
